date,AM Peak,PM Peak,7am-7pm,24 hr,flow
2021-12-22,0,5,45,50,2170
2021-12-23,0,10,45,55,1927
2021-12-24,0,5,10,15,2528
2021-12-25,0,0,0,5,2053
2021-12-26,0,0,25,25,931
2021-12-27,0,5,10,15,1803
2021-12-28,0,0,5,10,1690
2021-12-29,0,10,10,20,1616
2021-12-30,0,5,25,30,2606
2021-12-31,0,0,20,20,2588
2022-01-01,0,0,15,15,2161
2022-01-02,0,0,5,10,2107
2022-01-03,5,0,10,10,2220
2022-01-04,0,5,10,20,2547
2022-01-05,0,0,5,10,2088
2022-01-06,5,10,20,30,2349
2022-01-07,0,5,10,15,2309
2022-01-08,0,0,15,15,2426
2022-01-09,0,0,10,10,1831
2022-01-10,0,5,35,40,1778
2022-01-11,0,5,15,15,1994
2022-01-12,5,0,10,10,2380
2022-01-13,0,0,10,10,2872
2022-01-14,0,0,30,30,2432
2022-01-15,0,0,20,20,4041
2022-01-16,0,0,20,25,2351
2022-01-17,10,0,30,35,2311
2022-01-18,0,0,10,15,2008
2022-01-19,0,5,20,20,2569
2022-01-20,5,5,25,30,2552
2022-01-21,10,15,30,30,2912
2022-01-22,0,0,30,30,2732
2022-01-23,0,5,30,35,2140
2022-01-24,0,5,15,20,2867
2022-01-25,10,0,25,30,2013
2022-01-26,5,0,45,55,1942
2022-01-27,10,5,40,45,1920
2022-01-28,0,0,30,35,2321
2022-01-29,0,0,15,15,2156
2022-01-30,0,5,15,20,3158
2022-01-31,5,0,15,20,3421
2022-02-01,0,5,25,30,1927
2022-02-02,0,0,40,40,1661
2022-02-03,0,0,5,25,1983
2022-02-04,5,15,30,35,2472
2022-02-05,0,15,25,25,1861
2022-02-06,0,0,15,30,2198
2022-02-07,0,15,35,35,1840
2022-02-08,0,10,15,20,2062
2022-02-09,0,0,10,15,1698
2022-02-10,10,0,40,40,2718
2022-02-11,0,5,30,35,3270
2022-02-12,0,10,40,40,2029
2022-02-13,0,5,20,25,1395
2022-02-14,0,10,35,40,2545
2022-02-15,5,5,25,40,1837
2022-02-16,10,0,40,50,2343
2022-02-17,0,10,20,20,2634
2022-02-18,5,0,10,10,2686
2022-02-19,0,0,25,30,2470
2022-02-20,0,0,5,20,2084
2022-02-21,10,5,25,30,2184
2022-02-22,0,5,20,25,1833
2022-02-23,0,20,30,30,1623
2022-02-24,0,0,15,20,3536
2022-02-25,0,5,35,35,3056
2022-02-26,0,5,25,30,2494
2022-02-27,0,0,30,30,2341
2022-02-28,5,0,10,10,2210
2022-03-01,0,0,10,20,2231
2022-03-02,10,5,45,60,2353
2022-03-03,5,5,25,40,1902
2022-03-04,0,5,15,20,3037
2022-03-05,0,10,30,30,2844
2022-03-06,5,5,30,35,2167
2022-03-07,5,5,15,25,2508
2022-03-08,0,5,15,30,2060
2022-03-09,5,0,20,30,2439
2022-03-10,10,10,45,50,2581
2022-03-11,5,0,30,35,2364
2022-03-12,5,0,25,40,2318
2022-03-13,0,0,10,15,2451
2022-03-14,0,5,25,35,2329
2022-03-15,10,5,35,50,2454
2022-03-16,10,0,20,30,2274
2022-03-17,5,10,35,50,2772
2022-03-18,5,0,35,45,2375
2022-03-19,0,10,15,15,2587
2022-03-20,0,0,5,15,1998
2022-03-21,0,0,20,20,3284
2022-03-22,10,15,50,60,2035
2022-03-23,0,0,5,10,2776
2022-03-24,10,0,25,35,2926
2022-03-25,15,15,60,60,2454
2022-03-26,0,0,50,60,2469
2022-03-27,10,5,25,30,2526
2022-03-28,5,5,25,35,2657
2022-03-29,0,0,30,45,2502
2022-03-30,0,5,40,50,3367
2022-03-31,0,0,20,25,2896
2022-04-01,0,5,15,20,3310
2022-04-02,0,5,15,15,2463
2022-04-03,0,0,15,15,1824
