date,AM Peak,PM Peak,7am-7pm,24 hr,flow
2021-06-21,0,0,0,10,2164
2021-06-22,0,0,5,10,4883
2021-06-23,0,0,5,20,5136
2021-06-24,0,0,0,0,4998
2021-06-25,0,0,0,0,5508
2021-06-26,0,0,0,45,5029
2021-06-27,0,0,5,5,3964
2021-06-28,0,5,20,20,4718
2021-06-29,0,0,0,0,4864
2021-06-30,0,0,5,5,4984
2021-07-01,5,0,5,20,5069
2021-07-02,0,0,0,15,5394
2021-07-03,0,0,0,0,4821
2021-07-04,0,0,0,0,3957
2021-07-05,0,0,0,10,4909
2021-07-06,0,0,0,5,4876
2021-07-07,0,0,0,5,5021
2021-07-08,0,0,0,10,5085
2021-07-09,0,0,0,5,5362
2021-07-10,0,0,0,5,4725
2021-07-11,0,0,15,15,3992
2021-07-12,0,5,15,20,4956
2021-07-13,0,0,0,5,5070
2021-07-14,0,0,0,0,4962
2021-07-15,0,0,0,10,4978
2021-07-16,0,0,0,0,5212
2021-07-17,0,0,0,15,4651
2021-07-18,0,0,5,15,3845
2021-07-19,0,10,10,45,4670
2021-07-20,0,0,5,5,4587
2021-07-21,0,10,10,20,4677
2021-07-22,0,0,5,15,4643
2021-07-23,10,0,10,20,4848
2021-07-24,0,0,0,0,4545
2021-07-25,0,0,0,5,3761
2021-07-26,0,0,5,10,4457
2021-07-27,0,0,0,15,4616
2021-07-28,0,0,0,15,4787
2021-07-29,0,0,0,0,4819
2021-07-30,0,0,0,5,5075
2021-07-31,0,0,0,0,4858
2021-08-01,0,0,0,5,4024
2021-08-02,0,0,0,0,4430
2021-08-03,0,0,0,5,4530
2021-08-04,0,0,0,5,4463
2021-08-05,0,0,0,5,4651
2021-08-06,0,0,0,5,4847
2021-08-07,0,0,5,10,4727
2021-08-08,0,0,0,0,3939
2021-08-09,0,0,0,10,4680
2021-08-10,0,0,0,5,4880
2021-08-11,0,0,5,15,4623
2021-08-12,0,0,0,5,4818
2021-08-13,0,0,0,5,5011
2021-08-14,0,0,0,0,4649
2021-08-15,0,0,0,5,3871
2021-08-16,0,0,0,0,4616
2021-08-17,0,0,0,0,2838
2021-08-19,0,0,0,0,4738
2021-08-20,0,0,0,0,4998
2021-08-21,0,0,0,0,4683
2021-08-22,0,0,0,5,3889
2021-08-23,0,0,0,0,4447
2021-08-24,0,0,0,15,4582
2021-08-25,0,0,0,0,4694
2021-08-26,0,0,0,0,4718
2021-08-27,0,0,0,5,4844
2021-08-28,0,0,0,10,4497
