date,AM Peak,PM Peak,7am-7pm,24 hr,flow
2021-06-21,0,0,0,35,2020
2021-06-22,0,5,40,40,4402
2021-06-23,25,15,100,100,4318
2021-06-24,35,5,165,170,4544
2021-06-25,25,0,85,95,4893
2021-06-26,0,5,55,55,4493
2021-06-27,0,0,10,10,3673
2021-06-28,0,15,80,85,4393
2021-06-29,35,5,180,180,4420
2021-06-30,15,10,75,80,4572
2021-07-01,45,10,85,85,4629
2021-07-02,30,15,135,135,4715
2021-07-03,0,15,215,215,4203
2021-07-04,0,0,20,20,3683
2021-07-05,10,10,180,180,4327
2021-07-06,5,35,75,75,4529
2021-07-07,10,0,45,45,4600
2021-07-08,5,20,135,135,4606
2021-07-09,35,15,75,75,4862
2021-07-10,0,0,40,40,4418
2021-07-11,0,10,20,20,3729
2021-07-12,10,15,65,65,4520
2021-07-13,10,0,260,260,4678
2021-07-14,15,15,85,85,4382
2021-07-15,0,10,55,55,4550
2021-07-16,0,40,135,140,4708
2021-07-17,5,0,25,25,4091
2021-07-18,0,0,0,0,3623
2021-07-19,0,5,30,30,4557
2021-07-20,0,30,65,65,4297
2021-07-21,0,0,50,50,4484
2021-07-22,0,0,5,10,4185
2021-07-23,5,50,145,145,4391
2021-07-24,0,5,55,55,4379
2021-07-25,0,0,0,0,3549
2021-07-26,0,0,75,75,4233
2021-07-27,0,10,85,85,4204
2021-07-28,0,0,80,80,4287
2021-07-29,0,0,45,45,4475
2021-07-30,0,35,120,120,4477
2021-07-31,0,35,135,135,4319
2021-08-01,0,0,0,0,3648
2021-08-02,0,0,40,40,4073
2021-08-03,5,25,90,90,4284
2021-08-04,0,0,40,45,4093
2021-08-05,0,5,55,55,4324
2021-08-06,5,60,135,145,4485
2021-08-07,0,0,105,110,4129
2021-08-08,0,0,5,5,3458
2021-08-09,10,10,110,110,4280
2021-08-10,0,5,80,80,4418
2021-08-11,0,0,60,60,4128
2021-08-12,0,0,100,100,4344
2021-08-13,0,30,110,110,4637
2021-08-14,0,10,35,40,4404
2021-08-15,0,0,0,0,3446
2021-08-16,0,0,115,120,4204
2021-08-17,0,0,45,45,2962
2021-08-19,0,0,75,85,4285
2021-08-20,0,5,80,80,4486
2021-08-21,0,0,15,15,4327
2021-08-22,0,0,0,5,3706
2021-08-23,0,0,25,35,4134
2021-08-24,0,10,30,30,4328
2021-08-25,0,0,20,20,4355
2021-08-26,5,0,15,15,4518
2021-08-27,0,45,235,235,4484
2021-08-28,0,15,205,205,4203
2021-08-29,0,0,5,5,3426
2021-08-30,0,0,35,35,3435
2021-08-31,5,65,330,330,3838
2021-09-01,0,80,430,430,3954
2021-09-02,0,25,210,210,4225
2021-09-03,0,60,220,220,4692
2021-09-04,0,60,220,220,4285
2021-09-05,0,0,40,40,3709
2021-09-06,25,10,210,210,4422
2021-09-07,40,5,105,105,4613
2021-09-08,55,40,120,120,4430
2021-09-09,45,40,130,130,4718
2021-09-10,45,50,165,170,4609
2021-09-11,20,60,245,245,4612
2021-09-12,0,0,5,5,3652
2021-09-13,50,30,110,110,4373
2021-09-14,25,20,125,130,4382
2021-09-15,35,35,80,80,4666
2021-09-16,20,25,90,90,2797
2021-09-19,0,0,25,25,3637
2021-09-20,40,85,270,275,4495
2021-09-21,40,45,120,120,4680
2021-09-22,30,45,135,140,4747
2021-09-23,20,30,190,190,4662
2021-09-24,40,25,190,195,4894
2021-09-25,0,0,55,55,4651
2021-09-26,0,0,10,10,3577
2021-09-27,55,25,110,110,4481
2021-09-28,25,25,85,85,4403
2021-09-29,30,25,110,110,4451
2021-09-30,35,20,155,155,4573
2021-10-01,20,35,220,240,4625
2021-10-02,0,5,110,120,4348
2021-10-03,0,0,0,0,3581
2021-10-04,0,15,40,40,4301
2021-10-05,30,20,75,75,4341
2021-10-06,20,25,60,60,4467
2021-10-07,30,10,75,75,4520
2021-10-08,30,50,120,120,4777
2021-10-09,0,0,95,95,4522
2021-10-10,0,0,0,0,3683
2021-10-11,20,25,120,130,4356
2021-10-12,20,10,85,85,4452
2021-10-13,40,15,105,110,4423
2021-10-14,30,30,80,80,4442
2021-10-15,20,80,320,345,4508
2021-10-16,0,0,20,20,1705
2021-10-19,5,10,70,75,4389
2021-10-20,35,35,105,105,4419
2021-10-21,40,25,125,125,4419
2021-10-22,20,35,100,105,4444
2021-10-23,0,0,75,75,4191
2021-10-24,0,0,10,10,3446
2021-10-25,0,5,70,70,3923
2021-10-26,0,0,55,55,4032
2021-10-27,5,15,130,130,3964
2021-10-28,5,5,75,75,4218
2021-10-29,0,30,115,120,4502
2021-10-30,0,35,245,255,4263
2021-10-31,0,0,140,140,3861
2021-11-01,25,25,120,120,4375
2021-11-02,30,0,60,65,4218
2021-11-03,5,50,110,110,4423
2021-11-04,45,5,70,70,4473
2021-11-05,60,55,220,220,4580
2021-11-06,0,0,95,100,4332
2021-11-07,0,0,10,10,3576
2021-11-08,15,10,80,85,4239
2021-11-09,25,10,60,60,4331
2021-11-10,30,50,150,150,4549
2021-11-11,40,15,100,100,4373
2021-11-12,45,30,180,205,4752
2021-11-13,0,0,45,45,4524
2021-11-14,0,0,5,5,3599
2021-11-15,40,0,55,60,2582
2021-11-19,20,0,110,150,4702
2021-11-20,0,5,50,50,4476
2021-11-21,0,0,15,15,3567
2021-11-22,20,35,125,125,4353
2021-11-23,25,20,265,265,4566
2021-11-24,45,55,440,440,4543
2021-11-25,35,90,460,460,4350
2021-11-26,55,40,405,405,4694
2021-11-27,0,0,50,55,4265
2021-11-28,0,0,40,40,3652
2021-11-29,15,5,75,75,4353
2021-11-30,25,10,45,45,4369
2021-12-01,35,20,65,65,4629
2021-12-02,40,25,95,95,4460
2021-12-03,25,10,170,185,4731
2021-12-04,0,5,100,105,4461
2021-12-05,0,0,15,20,3711
2021-12-06,25,10,80,85,4333
2021-12-07,35,20,115,125,4319
2021-12-08,30,25,95,100,4482
2021-12-09,35,25,130,130,4469
2021-12-10,0,20,60,60,4712
2021-12-11,0,0,130,130,4362
2021-12-12,0,0,5,5,3587
2021-12-13,30,20,75,75,4407
2021-12-14,5,5,25,25,4540
2021-12-15,15,30,120,120,4202
2021-12-16,20,20,75,75,4757
2021-12-17,0,0,135,140,4802
2021-12-18,0,35,90,90,4485
2021-12-19,0,0,20,20,3673
2021-12-20,0,0,130,135,4192
2021-12-21,0,5,110,110,4296
2021-12-22,0,0,150,150,4116
2021-12-23,0,45,240,240,4497
2021-12-24,0,10,135,135,4456
2021-12-25,0,0,0,0,1969
2021-12-26,5,0,5,5,2567
2021-12-27,0,0,0,0,3130
2021-12-28,0,0,0,0,3287
2021-12-29,5,0,60,65,3850
2021-12-30,0,0,95,95,3820
2021-12-31,0,25,80,85,3979
2022-01-01,0,0,0,0,2972
2022-01-02,0,0,0,0,2972
2022-01-03,0,0,0,5,3479
2022-01-04,5,10,65,65,3944
2022-01-05,20,10,45,50,4290
2022-01-06,40,5,65,65,4378
2022-01-07,15,30,105,105,4590
2022-01-08,0,15,15,15,4226
2022-01-09,0,0,0,0,3348
2022-01-10,20,10,45,45,4278
2022-01-11,20,10,45,50,4304
2022-01-12,35,20,60,65,4187
2022-01-13,55,20,80,80,4419
2022-01-14,50,40,135,135,4603
2022-01-15,0,0,50,50,4362
2022-01-16,0,0,25,25,3596
2022-01-17,40,25,80,80,4252
2022-01-18,35,15,55,55,4439
2022-01-19,25,35,80,80,4435
2022-01-20,40,35,85,85,4488
2022-01-21,35,25,70,70,4694
2022-01-22,0,10,100,100,4366
2022-01-23,0,0,0,0,3639
2022-01-24,15,30,55,55,4293
2022-01-25,30,30,100,100,4457
2022-01-26,35,100,335,335,4063
2022-01-27,30,25,95,95,4646
2022-01-28,35,50,145,145,4887
2022-01-29,0,35,125,125,4465
2022-01-30,0,0,30,35,3726
2022-01-31,50,35,120,120,4395
2022-02-01,35,15,80,85,4469
2022-02-02,20,15,100,100,4459
2022-02-03,0,10,20,20,4542
2022-02-04,35,50,115,130,4796
2022-02-05,0,5,145,145,4418
2022-02-06,0,0,0,0,3614
2022-02-07,15,35,70,75,4555
2022-02-08,40,5,75,75,4500
2022-02-09,40,70,135,135,4578
2022-02-10,40,80,135,135,4691
2022-02-11,30,50,145,150,4876
2022-02-12,0,5,150,150,4573
2022-02-13,0,0,35,35,3737
2022-02-14,40,25,100,100,4680
2022-02-15,20,5,55,55,4624
2022-02-16,60,25,190,190,4639
2022-02-17,25,50,145,145,4976
2022-02-18,25,45,85,85,4751
2022-02-19,0,0,100,105,4536
2022-02-20,0,0,0,0,3603
2022-02-21,10,0,75,75,4180
2022-02-22,0,0,35,35,4197
2022-02-23,0,10,55,55,4257
2022-02-24,0,25,85,85,4310
2022-02-25,0,5,70,80,4634
2022-02-26,0,0,100,100,4485
2022-02-27,0,0,15,15,3723
2022-02-28,45,55,160,160,4631
2022-03-01,45,10,90,90,4617
2022-03-02,30,55,100,100,4732
2022-03-03,35,20,100,105,4836
2022-03-04,30,60,180,190,5037
2022-03-05,0,5,130,130,4428
2022-03-06,0,0,25,25,3859
2022-03-07,65,25,145,145,4736
2022-03-08,35,30,105,110,4631
2022-03-09,55,0,80,80,4779
2022-03-10,65,5,80,80,4793
2022-03-11,30,90,160,170,4871
2022-03-12,0,5,115,115,4410
2022-03-13,35,0,55,55,3165
2022-03-14,10,20,75,75,4511
2022-03-15,25,15,60,60,4622
2022-03-16,35,20,85,85,4593
2022-03-17,65,30,160,160,4624
2022-03-18,40,55,160,165,4828
2022-03-19,0,30,130,130,4491
2022-03-20,0,0,0,0,3556
2022-03-21,40,15,65,65,4445
2022-03-22,25,15,55,55,4552
