date,AM Peak,PM Peak,7am-7pm,24 hr,flow
2022-03-23,25,50,130,135,4695
2022-03-24,45,30,95,95,4562
2022-03-25,40,70,205,210,4706
2022-03-26,0,35,230,235,4311
2022-03-27,0,0,15,15,3635
2022-03-28,40,15,245,245,4956
2022-03-29,30,30,240,240,4969
2022-03-30,45,55,305,305,4892
2022-03-31,45,90,300,300,4808
2022-04-01,30,50,415,445,5076
2022-04-02,0,5,115,125,4425
2022-04-03,0,0,0,0,3516
2022-04-04,5,5,45,45,4567
2022-04-05,25,35,125,125,4335
2022-04-06,40,20,85,85,4576
2022-04-07,25,35,80,80,4642
2022-04-08,5,30,120,125,4762
2022-04-09,0,15,50,50,4174
2022-04-10,0,0,0,0,3505
2022-04-11,0,5,25,25,4145
2022-04-12,0,5,25,25,4214
2022-04-13,0,30,105,105,4257
2022-04-14,0,0,70,70,4381
2022-04-15,0,0,0,0,4151
2022-04-16,0,0,10,10,4251
2022-04-17,0,0,0,0,3440
2022-04-18,0,0,5,5,3560
2022-04-19,0,5,80,85,4119
2022-04-20,0,5,155,155,3869
2022-04-21,5,15,35,35,4314
2022-04-22,0,0,30,30,4544
2022-04-23,0,50,205,205,4287
2022-04-24,0,0,0,0,3632
2022-04-25,50,20,100,100,4442
2022-04-26,30,105,190,190,4593
2022-04-27,25,65,135,135,4569
2022-04-28,30,30,75,75,4699
2022-04-29,25,105,235,235,4803
2022-04-30,0,20,85,85,4445
2022-05-01,0,0,115,115,4253
2022-05-02,0,0,0,0,3659
2022-05-03,25,60,120,120,4545
2022-05-04,35,50,120,120,4525
2022-05-05,35,25,115,115,4573
2022-05-06,55,85,215,215,4870
2022-05-07,0,35,120,120,4618
2022-05-08,0,0,10,10,3798
2022-05-09,30,40,100,100,4611
2022-05-10,15,90,195,195,4640
2022-05-11,45,40,100,100,4718
2022-05-12,30,65,245,245,4605
2022-05-13,35,65,155,160,4979
2022-05-14,0,10,150,150,4487
2022-05-15,0,0,25,25,3723
2022-05-16,25,0,150,150,4308
2022-05-17,55,35,125,125,4546
2022-05-18,30,20,95,95,4607
2022-05-19,25,10,100,100,4855
2022-05-20,35,80,235,245,4906
2022-05-21,0,25,135,135,4473
2022-05-22,0,0,0,0,3623
