date,AM Peak,PM Peak,7am-7pm,24 hr,flow
2021-06-21,0,0,0,5,3116
2021-06-22,10,5,25,35,6836
2021-06-23,0,10,20,20,6830
2021-06-24,0,0,10,10,6877
2021-06-25,0,15,20,20,7173
2021-06-26,0,0,0,0,7175
2021-06-27,0,0,0,0,6698
2021-06-28,5,10,55,55,6873
2021-06-29,5,0,60,60,6840
2021-06-30,5,10,20,20,7088
2021-07-01,10,0,25,25,7139
2021-07-02,0,5,25,25,7478
2021-07-03,0,0,0,0,6927
2021-07-04,0,0,0,0,6524
2021-07-05,0,0,20,25,6532
2021-07-06,0,10,20,20,6749
2021-07-07,0,25,25,25,6739
2021-07-08,0,0,10,10,6850
2021-07-09,5,5,60,60,7151
2021-07-10,0,0,10,10,6901
2021-07-11,0,0,0,0,6453
2021-07-12,0,5,15,15,6610
2021-07-13,0,15,35,35,7175
2021-07-14,0,0,20,20,6972
2021-07-15,0,5,15,15,6962
2021-07-16,0,5,20,20,7295
2021-07-17,0,0,5,5,6820
2021-07-18,0,0,0,0,6488
2021-07-19,0,0,0,0,6774
2021-07-20,0,0,10,10,7054
2021-07-21,0,0,10,10,7282
2021-07-22,0,5,15,15,7132
2021-07-23,0,0,15,15,7527
2021-07-24,0,5,5,5,7149
2021-07-25,0,0,0,0,6938
2021-07-26,0,0,5,5,6734
2021-07-27,0,0,5,5,6627
2021-07-28,0,0,15,15,7079
2021-07-29,0,5,5,5,7209
2021-07-30,0,0,10,10,7482
2021-07-31,0,0,0,0,7229
2021-08-01,0,0,0,0,7110
2021-08-02,0,0,5,5,6671
2021-08-03,0,0,20,20,6852
2021-08-04,0,5,10,10,7212
2021-08-05,0,10,15,15,6999
2021-08-06,0,0,5,5,7153
2021-08-07,0,0,0,0,7031
2021-08-08,0,0,0,0,6696
2021-08-09,0,0,0,0,7057
2021-08-10,0,0,35,35,6786
2021-08-11,0,5,10,10,6913
2021-08-12,0,0,80,80,7077
2021-08-13,0,0,5,5,7145
2021-08-14,0,0,5,5,7158
2021-08-15,0,0,0,0,6729
2021-08-16,0,0,10,10,6881
2021-08-17,0,0,5,5,3915
2021-08-19,5,0,5,5,6952
2021-08-20,0,0,5,5,6820
2021-08-21,0,0,0,0,6787
2021-08-22,0,0,0,0,6288
2021-08-23,0,0,0,0,6310
2021-08-24,0,0,0,0,6573
2021-08-25,0,0,0,0,6516
2021-08-26,0,0,0,0,6769
2021-08-27,0,5,10,10,6987
2021-08-28,0,0,0,10,6345
2021-08-29,0,0,0,0,6413
2021-08-30,0,0,0,0,5950
2021-08-31,0,5,20,20,5943
2021-09-01,0,5,25,25,6014
2021-09-02,0,0,15,15,6851
2021-09-03,0,0,10,10,7320
2021-09-04,0,0,5,5,7093
2021-09-05,0,0,0,0,6987
2021-09-06,0,5,25,25,6787
2021-09-07,5,0,40,40,6873
2021-09-08,10,0,30,30,7098
2021-09-09,10,0,30,30,7261
2021-09-10,10,0,20,20,7551
2021-09-11,0,0,0,0,7261
2021-09-12,0,0,0,0,6397
2021-09-13,20,0,30,30,6682
2021-09-14,15,5,50,50,6773
2021-09-15,15,0,35,35,7111
2021-09-16,10,0,40,40,4306
2021-09-19,0,0,0,0,7299
2021-09-20,15,0,20,20,7161
2021-09-21,0,5,40,40,7230
2021-09-22,15,5,45,45,7532
2021-09-23,0,5,20,20,7460
2021-09-24,10,10,45,45,7845
2021-09-25,0,0,15,15,7834
2021-09-26,0,0,0,0,7334
2021-09-27,20,0,50,50,6816
