BW B4137 Witton Ln SB (Aston),8258,8532,8350,8602,8733,7095,5208,8349,8555,8835,8602,8916,7495,5691
BW Edward Rd (Edgbaston),5772,5385,5006,6303,4985,5511,3409,4426,4029,4019,3895,4415,4809,3285
BW B4144 Lozells Rd (Lozells),7973,7881,8065,8583,8821,8582,7162,7857,8418,9489,8590,8586,7958,7375
BW A5127 Lichfield Rd SB from M6 J6,13674,14084,14183,14556,14527,12002,9051,13814,14130,13687,14351,14400,12028,9546
BW B4100 Park St NB (City Centre),3691,3702,3600,3616,4028,4213,2684,3422,3403,3493,3430,3895,4495,3066
BW A47 Heartlands Parkway EB (Bromford),14178,14329,14914,15075,15082,11783,8178,14688,15268,14220,14329,14378,11023,9221
BW A38 Corporation St OB (City Centre),24674,24209,25230,25423,26811,22528,18520,25894,25862,24491,23797,25656,24166,20293
BE A47 Fort Parkway WB (Castle Vale),14188,14584,14713,14932,14731,12246,7815,14270,14402,14610,14327,14202,11297,8174
BW Edgbaston Park Rd at A38 Bristol Rd (Edgbaston),8662,8576,8589,8527,7028,5789,4343,6760,8618,7970,4638,7775,4776,3963
BW Summer Hill St NB (City Centre),4067,4070,3989,4071,4068,674,848,4409,4652,5036,5393,5657,5015,4060
BW B4217 Priory Rd WB (Edgbaston),10252,10325,9744,9487,11410,9253,7756,10772,12132,12189,11825,12171,10664,8696
BW Snow Hill Queensway NB (City Centre),3240,3630,3688,3899,3558,2740,1784,3249,3678,3798,4071,3902,3057,2067
BW A47 Nechels Parkway SB (Nechells),7294,7650,7455,7650,7355,6490,4980,7448,7804,7419,7402,7508,6312,4921
BW A456 Hagley Rd OB (Edgbaston),12274,12639,13026,13174,13613,13647,11181,12361,12535,13031,13048,13110,12295,10489
BW King Edwards Rd (City Centre),4,6,25,16,30,30,421,2864,2745,3234,4417,5048,4156,3164
BW A453 Aldridge Rd NB at Wellhead Ln (Perry Barr),11657,12118,12498,13099,13430,10267,7488,11937,12291,12540,13330,13608,11110,8874
BW A47 Jennens Rd OB (City Centre),5079,5179,5092,5279,5033,3994,2724,4713,4809,5069,5145,4861,4283,3118
BW B4124 Hamstead Hill (Hamstead),20656,21189,20937,21268,23095,21138,15694,20062,20197,21577,19960,21584,20594,17054
BW B4217 Church Rd EB at Priory Rd (Edgbaston),9991,9993,9612,10503,10108,8440,5654,8976,9151,10424,10668,9954,8487,6122
BW Colmore Circus Queensway (City Centre),2229,2409,2292,2427,2066,1641,1023,2107,2394,2293,2497,2434,1844,1271
BE A5127 Sutton Rd (Erdington),14307,14878,15084,15342,15896,13693,10318,14617,14524,14659,14696,15131,13785,11977
BW A4400 Great Charles St Queensway IB (City Centre),10073,9705,10705,9699,11116,10412,7138,8709,10033,11691,10695,11688,10210,7817
BW Sherlock St at Hurst St (City Centre),8843,9111,8380,8711,10246,11685,8627,8554,8074,8357,9006,10435,12355,9581
BW A34 Walsall Rd NB (Perry Barr),10799,11058,11065,11143,11678,9752,6963,10322,10548,10898,10647,11511,9756,8185
BE A45 Coventry Rd EB (Sheldon),17767,17942,18544,18892,20218,16478,14330,17850,17819,17743,18389,19237,16721,13793
BW A47 Nechells Parkway NB (Nechells),4086,4079,4014,4326,4167,3380,2165,3994,4023,3929,3951,3836,3393,2675
BW A457 Summer Hill Rd IB (City Centre),11318,11425,11454,11711,11705,9506,7214,10674,11343,12556,12066,12512,9995,7998
BW B4144 Park Ln (Aston),13591,14021,14706,15062,14224,10857,8043,13232,14021,14685,14262,14253,10835,9263
BW A457 Summer Hill Rd OB (City Centre),12876,12990,13283,13516,13750,12069,8856,12784,13375,14217,12639,13153,11215,9117
BW A34 Birchfield Rd SB (Handsworth),18829,18908,19453,19197,20216,18961,14755,19355,20260,21030,20346,22201,19729,16393
BW A4540 Ladywood Middleway SB (City Centre),18134,18624,18382,18819,19261,18145,12376,18056,18746,19314,19058,19607,15945,12582
BW Bromsgrove St at Hurst St (City Centre),3544,3794,3439,3569,4232,5498,3857,3535,3614,3428,3651,5057,6406,4642
BW B4217 Church Rd at Carpenter Rd (Selly Oak),10189,10252,10269,10918,11376,9837,7350,10217,11710,11087,11361,11354,10533,7624
BE A38 Kingsbury Rd EB (Erdington),14724,15207,15947,15395,15757,11340,9720,15157,15271,14956,15114,15065,11599,9131
BW A4540 Islington Row Middleway EB at Five Ways (City Centre),20953,26086,19341,20993,21922,27357,25220,16901,26891,19503,24236,26802,33175,26258
BW A38 Bristol St IB (City Centre),32089,30856,31199,32490,32634,29378,21923,30097,30147,30574,31760,33586,30834,24219
BW A453 College Rd SB at Kingstanding Rd (Perry Barr),12620,13041,13406,13362,14201,11978,8523,12531,13297,13458,13474,14282,12164,9548
BW St Vincent St at Sheepcote St (City Centre),6444,6784,6976,6580,6813,3899,2818,6331,6789,7333,8913,9268,8191,6473
BE A41 Warwick Rd (Acocks Green),11029,11447,11237,11754,12162,10079,6182,10959,11214,11309,11683,12098,10208,8400
BW A4040 Wellington Rd (Handsworth Wood),9564,9955,9910,10164,10878,10730,8567,10083,10527,11014,11028,11179,10049,9576
BE A452 Chester Rd NB (Tyburn),14032,14098,14060,15011,15388,14670,11281,14501,13948,14572,2931,13515,14615,12269
BW B4135 Sandpits WB at Edward St Camera 1 (City Centre),9754,9914,10151,10181,10700,9597,6948,9366,9705,10412,8197,8455,7403,5968
BE Kingsbury Rd (Erdington),10241,10616,10455,10810,12281,8929,6512,10444,10638,10693,10945,11260,9046,7204
BW B4137 Witton Ln NB (Aston),11071,10938,2069,6195,10586,11556,9695,7238
BW A441 Pershore Rd at Pebble Mill Rd (Edgbaston),21205,22895,20247,20382,22931,20783,17025,22331,20865,22496,24484,24777,22590,18975
BW Holliday St (City Centre),4164,4305,4242,4280,4968,5387,3651,4604,4614,4977,7430,7451,6813,5221
BW A34 Walsall Rd SB (Perry Barr),11366,11487,11521,11753,12155,10069,7953,10973,11777,12500,11379,11902,10179,8457
BW Perry Ave at A34 Walsall Rd (Perry Barr),3866,4037,4030,4235,4473,4582,3358,4005,4931,5200,5839,5154,5047,3685
BW A4540 Ladywood Middleway EB at Five Ways (City Centre),9800,9918,8694,10764,11906,15512,12475,9154,9284,11178,11459,12297,15351,12337
